hhld_id,drvr_cnt,veh_cnt,min_age,hoh_age,max_age,avg_age,min_mon_lic,hoh_mon_lic,max_mon_lic,avg_mon_lic,cnt_yth,cnt_female,cnt_male,cnt_married,cnt_single,hoh_married,cnt_auto,cnt_mtrcyc,avg_majr_viol,cnt_majr_viol,cnt_minr_viol,avg_minr_viol,cnt_lic_susp,curnt_insurer,time_w_carr,inforce_ind,prior_bi,fire_ind,homeowner_ind,veh_lien_cnt,veh_lease_cnt,veh_own_cnt,monthly_pay_ind,veh_w_coll_cnt,veh_w_comp_cnt,veh_w_ers_cnt,curnt_bi_low,curnt_bi_upp,credit_score,zipcode,premium,loss_amount,loss_ratio,future_clm_ind,at_fault_claims_2012,at_fault_claims_2013,at_fault_claims_2014,at_fault_claims_2015,at_fault_claims_2016,not_at_fault_claims_2012,not_at_fault_claims_2013,not_at_fault_claims_2014,not_at_fault_claims_2015,not_at_fault_claims_2016
15937,2,1,43.7899779497731,51.3661764495299,51.3661764495299,47.5780771996515,333.479735397277,424.394117394358,424.394117394358,378.936926395818,0,2,0,1,1,True,1,0,0.0,0,0,0.0,0,PROGRESSIVE,3.0,1,25000.0,0,0,0.0,0,0,0,1,1,1,100,100,825.949106374693,35741,133.6,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11886,4,3,19.3186610099602,43.7899779497731,43.7899779497731,37.6721487148199,39.8239321195229,333.479735397277,333.479735397277,260.065784577839,0,2,2,2,2,True,3,0,0.0,0,0,0.0,0,ALLSTATE,5.0,1,50000.0,0,1,,0,0,0,2,2,0,25,25,413.262687658389,16107,384.0,0.0,0.0,0,,,,,,0.0,0.0,0.0,0.0,1.0
9155,2,2,25.2773935425213,42.3067083584333,42.3067083584333,33.7920509504773,111.328722510256,315.6805003012,315.6805003012,213.504611405728,0,0,2,2,0,True,2,0,0.0,0,0,0.0,0,ALLSTATE,1.5,1,25000.0,1,0,,0,2,0,2,2,1,100,100,612.255960060522,85767,278.1,1353.60548078067,4.86733362380681,1,,,,,,0.0,0.0,1.0,0.0,0.0
5768,1,1,47.5663526919637,47.5663526919637,47.5663526919637,47.5663526919637,378.796232303564,378.796232303564,378.796232303564,378.796232303564,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,GEICO,3.5,1,25000.0,1,0,,0,0,0,1,1,1,250,250,710.243668061893,57609,120.24,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,,,,,
6706,1,1,30.3664041055278,30.3664041055278,30.3664041055278,30.3664041055278,172.396849266333,172.396849266333,172.396849266333,172.396849266333,0,1,0,0,1,False,0,1,0.0,0,0,0.0,0,LIBERTY MUTUAL,0.5,1,25000.0,1,1,,0,1,0,1,1,1,25,25,687.903986958933,83031,150.3,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,,,,,
18727,1,1,61.5560838819382,61.5560838819382,61.5560838819382,61.5560838819382,546.673006583258,546.673006583258,546.673006583258,546.673006583258,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,OTHER,5.0,1,50000.0,1,0,,0,1,0,1,1,1,100,100,657.256461252425,52495,150.3,0.0,0.0,0,,,,,,0.0,0.0,0.0,0.0,1.0
2506,1,1,33.5433277684856,33.5433277684856,33.5433277684856,33.5433277684856,210.519933221827,210.519933221827,210.519933221827,210.519933221827,0,1,0,0,1,False,0,1,0.0,0,0,0.0,0,OTHER,5.0,1,50000.0,1,1,,0,1,0,1,1,1,25,25,489.295035180362,69015,150.3,0.0,0.0,0,,,,,,0.0,0.0,0.0,1.0,0.0
1625,1,1,66.2639237894476,66.2639237894476,66.2639237894476,66.2639237894476,603.167085473371,603.167085473371,603.167085473371,603.167085473371,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,PROGRESSIVE,2.5,1,50000.0,0,0,,0,1,0,0,0,1,25,25,628.58433412106,14052,105.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,,,,,
13780,1,1,40.1769890095283,40.1769890095283,40.1769890095283,40.1769890095283,290.12386811434,290.12386811434,290.12386811434,290.12386811434,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,0,,0,1,1,1,1,1,25,25,,59814,150.3,0.0,0.0,0,,,,,,1.0,0.0,0.0,0.0,0.0
19407,2,2,46.2281537292404,49.1921671788444,49.1921671788444,47.7101604540424,362.737844750884,398.306006146133,398.306006146133,380.521925448508,0,1,1,1,1,True,2,0,0.0,0,0,0.0,0,MISSING,,0,,0,0,,0,0,0,2,2,2,250,250,668.225618041948,79528,314.0,0.0,0.0,0,,,,,,0.0,0.0,0.0,0.0,1.0
15229,1,1,34.3648197221493,34.3648197221493,34.3648197221493,34.3648197221493,220.377836665792,220.377836665792,220.377836665792,220.377836665792,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,OTHER,5.0,1,25000.0,1,0,,0,0,1,0,0,0,100,100,845.242660086932,58368,72.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,,,,,
9999,1,1,38.0980970941793,38.0980970941793,38.0980970941793,38.0980970941793,265.177165130151,265.177165130151,265.177165130151,265.177165130151,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,NATIONWIDE,2.0,1,25000.0,1,0,,0,0,0,0,0,1,25,25,835.521233645654,11234,75.6,0.0,0.0,0,,,,,,0.0,0.0,0.0,0.0,1.0
3857,1,1,51.0874168669451,51.0874168669451,51.0874168669451,51.0874168669451,421.049002403342,421.049002403342,421.049002403342,421.049002403342,0,1,0,0,1,False,1,0,0.0,0,2,2.0,0,PROGRESSIVE,0.5,1,50000.0,1,0,,0,0,1,0,0,0,100,100,726.613876385715,99697,72.0,0.0,0.0,0,,,,,,0.0,0.0,0.0,0.0,1.0
14796,1,1,42.7387341926599,42.7387341926599,42.7387341926599,42.7387341926599,320.864810311919,320.864810311919,320.864810311919,320.864810311919,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,ALLSTATE,0.0,1,100000.0,0,0,,0,0,1,0,0,1,100,100,568.445935782565,10012,105.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,,,,,
553,1,1,34.2899134271858,34.2899134271858,34.2899134271858,34.2899134271858,219.478961126229,219.478961126229,219.478961126229,219.478961126229,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,FARMERS,5.0,1,25000.0,0,0,,0,1,0,1,1,1,50,50,589.885677070405,36529,167.0,490.958529859741,2.93987143628588,1,,,,,,0.0,0.0,0.0,0.0,1.0
8362,3,1,18.7527190697335,54.9772546408819,57.7281304852278,43.8193680652811,33.0326288368022,467.727055690583,500.737565822734,333.832416783373,0,2,1,2,1,True,1,0,0.0,0,0,0.0,0,FARMERS,0.5,1,100000.0,0,1,,0,0,0,1,1,1,100,100,592.749003150203,71585,167.0,0.0,0.0,0,,,,,,0.0,0.0,0.0,0.0,1.0
820,2,3,43.9073912037322,58.3588119956795,58.3588119956795,51.1331015997059,334.888694444787,508.305743948154,508.305743948154,421.59721919647,0,1,1,1,1,True,3,0,0.0,0,5,2.5,0,OTHER,3.5,1,25000.0,0,1,,0,1,0,0,0,0,25,25,532.467873466474,50900,260.0,845.404624982329,3.25155624993203,1,,,,,,0.0,0.0,1.0,0.0,0.0
17787,2,2,26.3950664069144,79.4833166934634,79.4833166934634,52.9391915501889,124.740796882973,761.79980032156,761.79980032156,443.270298602267,0,1,1,2,0,True,2,0,0.0,0,0,0.0,0,ALLSTATE,5.0,1,100000.0,1,0,,0,1,0,2,2,1,100,100,610.436287452992,87035,278.1,0.0,0.0,0,,,,,,0.0,0.0,1.0,0.0,0.0
19756,2,1,49.0883157354078,67.7085202884662,67.7085202884662,58.398418011937,397.059788824893,620.502243461594,620.502243461594,508.781016143244,0,1,1,2,0,True,1,0,0.0,0,0,0.0,0,OTHER,2.0,1,100000.0,0,1,,0,0,1,1,1,1,50,50,635.312434746842,53793,167.0,0.0,0.0,0,,,,,,0.0,0.0,0.0,0.0,1.0
